model,accuracy,ci_low,ci_high,p_value
KNN,0.47368421052631576,0.4239954877896238,0.523899685636081,0.03418672834773909
Gradient Boosting,0.4710526315789474,0.4214046716905117,0.5212800190777638,0.022297661824692932
Logistic Regression,0.45789473684210524,0.4084712983473211,0.5081609791338066,0.1506141469346891
Random Forest,0.4131578947368421,0.36475888103576226,0.4632951912690636,0.9358089200203927
Baseline (Home Win),0.40789473684210525,0.35964319330226807,0.45798991368769865,
