Team,Pos,P,W,D,L,Pts
Arsenal,1,14,9,3,1,30
Man City,2,14,8,1,4,25
Aston Villa,3,14,7,3,3,24
Chelsea,4,14,7,3,3,24
Brighton,5,14,6,4,3,22
Sunderland,6,14,6,4,3,22
Liverpool,7,14,7,0,6,21
Man Utd,8,14,6,3,4,21
Crystal Palace,9,14,5,5,3,20
Brentford,10,14,6,1,6,19
Bournemouth,11,14,5,4,4,19
Newcastle,12,14,5,3,5,18
Spurs,13,14,5,3,5,18
Everton,14,14,5,3,5,18
Fulham,15,14,5,2,6,17
Nott'm Forest,16,14,3,3,7,12
West Ham,17,14,3,2,8,11
Leeds,18,14,3,2,8,11
Burnley,19,14,3,1,9,10
Wolves,20,14,0,2,11,2
